HSCode,Description
2844209000,"Uranium; U235, plutonium, its compounds, alloy dispersions (including cermets), ceramic products and mixtures containing enriched uranium in U235, plutonium or compounds of these products; etc."
2844301000,"Uranium; U235, thorium, their compounds, alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted from U235, thorium; compounds of these products; dispersions (limited to those containing uranium and thorium or compounds thereof that have degraded uranium 235)"
2844309000,"Uranium; U235, thorium, their compounds, alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted from U235, thorium; compounds of these products; other"
2844410000,"Radioactive elements; tritium and its compounds; alloys, dispersions (including cermet), ceramic products and mixtures containing tritium or its compounds; tritium and its compounds, alloys, dispersions [including cermet], ceramic products and mixtures thereof (limited to those containing tritium and its compounds)"
2844420000,"Radioactive elements; actinides-225, 227, californium-253, curium-240, 241, 242, 243, 244, Einstein-253, 254, gadolinium-148, polonium-208, 209, 210, radium-223, uranium-230 or 232, compounds; alloys, dispersions, ceramic products and mixtures.; 악티늄-225ㆍ악티늄-227ㆍ캘리포늄-253ㆍ퀴륨-240ㆍ퀴륨-241ㆍ퀴륨-242ㆍ퀴륨-243ㆍ퀴륨-244ㆍ아인슈타이늄-253ㆍ아인슈타이늄-254ㆍ가돌리늄-148ㆍ폴로늄-208ㆍ폴로늄-209ㆍ폴로늄-210ㆍ라듐-223ㆍ우라늄-230ㆍ우라늄-232와 이들의 화합물, alloys, dispersions [including cermet], ceramics, and mixtures thereof (limited to those containing these elements or compounds thereof)"
2844430000,"Radioactive elements, isotopes and compounds; other alloys, dispersions (including cermets), ceramic products and mixtures containing such elements, isotopes or compounds; other radioactive elements and radioisotopes and their compounds, alloys, dispersions [including cermets], ceramic products and mixtures thereof (limited to those containing such radioactive elements, radioisotopes or compounds)"
2844440000,"Radioactive elements, isotopes, compounds N.E.C. Heading no. 2844, alloys, dispersions (including cermets), ceramic products, mixtures containing such elements, isotopes, compounds; radioactive residues; radioactive residues"
2844500000,spent (irradiated) fuel elements (cartridges) in a nuclear reactor; spent [irradiated] fuel elements [cartridges] in a nuclear reactor
2845100000,Heavy water (hydrogen oxide); Heavy water (重水) (deuterium oxide)
2845200000,boron enriched in boron-10 and its compounds; boron enriched in boron-10 and its compounds
2845300000,Lithium enriched in lithium-6 and its compounds; lithium-6 concentrate and its compounds
2845400000,Helium-3; Helium-3
2845901000,"Isotopes other than isotopes of 2844, 2845.20, or 2845.40. 2844, 2845.20, 2845.30, or 2845.40; any inorganic or organic compound of these isotopes, whether or not chemically defined; deuterium"
2845902000,"Isotopes other than isotopes of 2844, 2845.20, or 2845.40. 2844, 2845.20, 2845.30, or 2845.40; inorganic or organic compounds of these isotopes, whether or not chemically defined; isotopes of carbon"
2845909000,"Isotopes other than isotopes of 2844, 2845.20, or 2845.40. 2844, 2845.20, 2845.30, or 2845.40; inorganic or organic compounds of these isotopes, whether or not chemically defined; other"
2846100000,Cerium compounds; cerium compounds
2846901000,"Inorganic or organic compounds (except cerium), rare earth metals, yttrium, scandium, or mixtures of these metals; yttrium oxide"
2846909000,"Inorganic or organic compounds (except cerium), rare earth metals, yttrium, scandium, or mixtures of these metals; other"
2847002000,"Hydrogen peroxide, whether or not solidified with urea; for semiconductor manufacturing"
2847009000,"Hydrogen peroxide, whether solidified with urea; etc."
2849100000,"Carbide; of calcium, whether or not chemically defined; calcium carbide"
2849200000,"Carbide; of silicon, whether or not chemically defined; silicon carbide"
2849901000,Carbide; a chemically defined carbide other than calcium or silicon; bicarbonate
2849909010,Carbides; chemically defined carbides other than calcium or silicon; other; tungsten carbide
2849909090,Carbides; chemically defined carbides other than calcium or silicon; other; etc.
2850001000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined; compounds, except carbides of heading 289. 2849; hydrides"
2850002000,"Hydrides, nitrides, azides, silicides and borides (whether or not chemically defined); compounds, except carbides of heading 289. 2849; Nitrides"
2850003000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined; compounds, except carbides of heading 289. 2849; azides"
2850004000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined; compounds, except carbides of heading 289. 2849; silicides"
2850005000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined; compounds, except carbides of heading 289. 2849; borides"
2852100000,"An inorganic or organic compound (other than amalgam) of mercury, chemically defined as:; a chemically monolithic"
2852903000,"Inorganic or organic compounds of mercury (other than amalgams, which are not chemically defined); caseinates and other derivatives of casein, of subheading 3501.90, except for use in the manufacture of coffee creamers"
2852909000,"Inorganic or organic compounds of mercury (except amalgam, which is not chemically defined),; other"
2853100000,Inorganic Compounds; Cyanogen Cyanide (Chlorian); Cyanogen Chloride (Chlorian)
2853901000,"Phosphides, chemically defined or not, other than ferrophosphoric acid; other inorganic compounds, including distilled water, conductive water, and water of similar purity; liquid air, with or without rare gases; compressed air; amalgams, other than precious metal amalgams; distilled water, conductive water, and water of similar purity"
2853902000,"Phosphides, whether or not chemically defined, other than ferrophosphoric acid; other inorganic compounds (including distilled water, conducting water, and water of similar purity); liquid air, whether or not purged of noble gases; compressed air; amalgams, other than precious metal amalgams; phosphides (whether or not chemically monolithic, but excluding phosphorus iron)"
2853909000,"Phosphides, chemically defined or not, other than ferrophosphoric acid; other inorganic compounds (including distilled water, conductive water, and water of similar purity); liquid air, whether or not purged of noble gases; compressed air; amalgams other than precious metal amalgams; etc."
2901101000,Acyclic hydrocarbons; saturated; butane
2901102000,Acyclic hydrocarbons; saturated; hexane
2901103000,Acyclic hydrocarbons; saturated; heptane
2901109000,Acyclic Hydrocarbons; Saturated; Other
2901210000,"Acyclic Hydrocarbons; Unsaturated, Ethylene; Ethylene"
2901220000,"Acyclic Hydrocarbons; Unsaturated, Propene (Propylene); Propene (Propylene)"
2901230000,"Acyclic hydrocarbons; unsaturated, butene (butylene) and isomers thereof; butene (butylene) and isomers thereof"
2901241000,"Acyclic Hydrocarbons; Unsaturated, buta-1,3-diene and isoprene; 1,3-butadiene"
2901242000,"Acyclic Hydrocarbons; Unsaturated, buta-1,3-diene and isoprene; Isoprene"
2901291000,"Acyclic hydrocarbons; unsaturated, N.E.C. Heading no. 2901; Hexene"
2901292000,"Acyclic hydrocarbons; unsaturated, N.E.C. Heading no. 2901; Octene"
2901299000,"Acyclic hydrocarbons; unsaturated, N.E.C. Heading no. 2901; Others"
2902110000,Cyclic Hydrocarbons; Cyclohexane; Cyclohexane
2902191000,"Cyclic hydrocarbons, including cyclines, cyclenes, cyclo-terpenes, except cyclohexane; ethylidene norbornene"
2902199000,"Cyclic hydrocarbons, including cyclines, cyclenes, and cyclo-terpenes, except cyclohexane; other"
2902200000,Cyclic Hydrocarbons; Benzene; Benzene
2902300000,Cyclic Hydrocarbons; Toluene; Toluene
2902410000,Cyclic hydrocarbons; O-xylenes; Ortho-xylenes
2902420000,Cyclic hydrocarbons; m-xylene; meta-xylene
2902430000,Cyclic hydrocarbons; p-xylene; para-xylene
2902440000,Cyclic Hydrocarbons; Mixed Xylene Isomers; Mixed Xylene Isomers
2902500000,Cyclic Hydrocarbons; Styrene; Styrene
2902600000,Cyclic Hydrocarbons; Ethylbenzene; Ethylbenzene
2902700000,cyclic hydrocarbons; cumene; cumene
2902901000,Cyclic hydrocarbons; N.E.C. no. of heading. 2902; Naphthalene
2902902000,Cyclic hydrocarbons; N.E.C. no. of heading. 2902; Methylnaphthalene
2902903000,Cyclic hydrocarbons; N.E.C. no. of heading. 2902; Methylstyrene
2902909000,Cyclic hydrocarbons; N.E.C. no. of heading. 2902; etc.
2903111000,Saturated chlorinated derivatives of acyclic hydrocarbons; saturated chlorinated derivatives of chloromethane (methyl chloride) and chloroethane (ethyl chloride); methane chloride (methyl chloride)
2903112000,"Saturated chlorinated derivatives of acyclic hydrocarbons, chloromethane (methyl chloride) and chloroethane (ethyl chloride); chloroethane (ethyl chloride)"
2903120000,Saturated chlorinated derivatives of acyclic hydrocarbons; dichloromethane (methylene chloride); methane dichloride (methylene chloride)
2903130000,"Saturated chlorinated derivatives of acyclic hydrocarbons, chloroform (trichloromethane); chloroform (methane trichloride)"
2903140000,Saturated chlorinated derivatives of acyclic hydrocarbons; carbon tetrachloride; carbon tetrachloride
2903150000,"Saturated chlorinated derivatives of acyclic hydrocarbons; ethylene chloride (ISO) (1,2-dichloroethane) (1,2-dichloroethane); ethylene dichloride (ISO) (1,2-dichloroethane)"
2903190000,Saturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. of heading 2903.1; misc.
2903210000,"Unsaturated chlorinated derivatives of acyclic hydrocarbons, vinyl chloride (chloroethylene); vinyl chloride (ethylene chloride)"
2903220000,Unsaturated chlorinated derivatives of acyclic hydrocarbons; trichloroethylene; ethylene trichloride
2903230000,Unsaturated chlorinated derivatives of acyclic hydrocarbons; tetrachloroethylene (perchloroethylene); ethylene tetrachloride (ethylene perchloride)
2903290000,Unsaturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. of heading 2903.2; others
2903410000,"Trifluoromethane (HFC-23), a saturated fluorinated derivative of acyclic hydrocarbons; Trifluoromethane (HFC-23)"
2903420000,Saturated fluorinated derivatives of acyclic hydrocarbons; Difluoromethane (HFC-32); Difluoromethane (HFC-32)
2903430000,"Saturated fluorinated derivatives of acyclic hydrocarbons; fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a); fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)"
2903440000,"Saturated fluorinated derivatives of acyclic hydrocarbons; pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143); pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)"
2903450000,"Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,2-Tetrafluoroethane (HFC-134a) and 1,1,2,2-Tetrafluoroethane (HFC-134); 1,1,1,2-Tetrafluoroethane (HFC-134a) and 1,1,2,2-Tetrafluoroethane (HFC-134)"
2903460000,"Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,2,3,3,3-heptafluoropropane (HFC-227ea), 1,1,1,2,2,2,3-hexafluoropropane (HFC-236cb), 1,1,1,2,3,3-hexafluoropropane (HFC-236ea) and 1,1,1,3,3-3-hexafluoropropane (HFC-236fa).; 1,1,1,2,3,3,3-헵타플루오로프로판(HFC-227ea), 1,1,1,2,2,3-헥사플루오로프로판(HFC-236cb), 1,1,1,2,3,3-헥사플루오로프로판(HFC-236ea)과 1,1,1,3,3,3-헥사플루오로프로판(HFC-236fa)"
2903470000,"Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,3,3-pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca); 1,1,1,3,3-pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca)"
2903480000,"Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,3,3-pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee); 1,1,1,3,3-pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)"
2903491000,Saturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in heading 2903.4; hexafluoroethane (CFC-116)
2903499000,Saturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. of heading 2903.4; others
2903510000,"Unsaturated fluorinated derivatives of acyclic hydrocarbons; 2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,1,4,4-hexafluoro-2-butene (HFO-1336mzz).; 2,3,3,3-테트라플루오르프로펜(HFO-1234yf), 1,3,3,3-테트라플루오르프로펜(HFO-1234ze)과 (Z)-1,1,1,4,4,4-헥사플루오르-2-부텐(HFO-1336mzz)"
2903590000,Unsaturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. of heading 2903.5; others
2903610000,Brominated or iodinated derivatives of acyclic hydrocarbons; methyl bromide (bromomethane); methyl bromide (bromomethane)
2903620000,"Brominated or iodinated derivatives of acyclic hydrocarbons; ethylene dibromide (ISO) (1,2-dibromoethane); ethylene dibromide (ISO) (1,2-dibromoethane)"
2903690000,Brominated or iodinated derivatives of acyclic hydrocarbons; n.e.c. of heading 2903.6; others
2903710000,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluoromethane (HCFC-22); chlorodifluoromethane (HCFC-22)
2903720000,halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichlorotrifluoroethane (HCFC-123)
2903730000,"halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; dichlorofluorocarbons (HCFC-141, 141b)"
2903740000,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; chlorodifluorocarbons HCFC-142, 142b); chlorodifluorocarbons (HCFC-142, 142b)"
2903750000,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; Dichloropentafluoropropane (HCFC-225, 225ca, 225cb)"
2903760000,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; bromochlorodifluoromethane (Halon-1211), bromotrifluoromethane (Halon-1301), and dibromotetrafluoroethane (Halon-2402); bromochlorodifluoromethane (Halon-1211), bromotrifluoromethane (Halon-1301), dibromotetrafluoroethane (Halon-2402)"
2903770000,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; perhalogenated with fluorine and chlorine of heading 290371 to 290376 only; others (perhalogenated with fluorine and chlorine only)
2903780000,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; perhalogenated derivatives, except those containing only fluorine and chlorine, not of heading 2903.71 to 2903.76; other perhalogenated derivatives"
2903790000,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. of heading 2903.7; misc.
2903810000,"Halogenated derivatives of cyclic, cyclene, or cyclo-terpene hydrocarbons, including 1,2,3,4,5,6-hexachlorocyclohexane (HCH(ISO)), lindane (ISO, INN); 1,2,3,4,5,6-hexachlorocyclohexane [HCH(ISO)][lindane (ISO, INN)]"
2903820000,"Halogenated derivatives of cyclic, cyclenic or cyclo-terpene hydrocarbons; aldrin (ISO), chlordane (ISO) and heptachlor (ISO); aldrin (ISO), chlordane (ISO), heptachlor (ISO)"
2903830000,"Halogenated derivatives of cyclanes, cyclenes, or cyclo-terpene-based hydrocarbons; Mirex (ISO); Mirex (ISO)"
2903890000,"Halogenated derivatives of cyclic, cyclenic or cyclo-terpene hydrocarbons; n.e.c. of heading 2903.8; others"
2903910000,"Halogenated derivatives of aromatic hydrocarbons; chlorobenzene, o-dichlorobenzene and p-dichlorobenzene; chlorobenzene, ortho-dichlorobenzene, para-dichlorobenzene"
2903920000,"Halogenated derivatives of aromatic hydrocarbons; hexachlorobenzene (ISO) and DDT (ISO) (chlophenothane (INN) and 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane); hexachlorobenzene (ISO) and DDT (ISO) [chlophenothane (INN), 1,1,1-trichloro-2,2-bis(para-chlorophenyl)ethane]; hexachlorobenzene (ISO) and DDT (ISO) [chlophenothane (INN), 1,1,1-trichloro-2,2-bis(para-chlorophenyl)ethane]."
2903930000,"Pentachlorobenzene (ISO), a halogenated derivative of aromatic hydrocarbons; Pentachlorobenzene (ISO)"
2903940000,Halogenated derivatives of aromatic hydrocarbons; Hexabromobiphenyls; Hexabromobiphenyls
2903992000,"Halogenated derivatives of aromatic hydrocarbons; n.e.c. of heading 2903.91, 2903.92, 2903.93 and 2903.94; trichlorobenzene"
2903999000,"Halogenated derivatives of aromatic hydrocarbons; n.e.c. of heading 2903.91, 2903.92, 2903.93 and 2903.94; other"
2904100000,"Derivatives of hydrocarbons, whether halogenated or not, containing only sulfur groups, their salts and ethyl esters; sulfonated derivatives and their salts and ethyl esters"
2904201000,"Hydrocarbon derivatives, whether or not halogenated, containing only nitro or containing only nitroso groups; nitrotoluene"
2904209010,"Hydrocarbon derivatives, whether or not halogenated, containing only nitro or containing only nitroso groups; others; nitrobenzene"
2904209090,"Derivatives of hydrocarbons, whether or not halogenated, containing only nitro or containing only nitroso groups; other; other"
2904310000,"Hydrocarbon derivatives, perfluorooctane sulfonic acid (whether or not halogenated); perfluorooctanesulfonic acid"
2904320000,"Hydrocarbon derivatives, ammonium perfluorooctane sulfonate, whether or not halogenated; ammonium perfluorooctanesulfonic acid"
2904330000,"Hydrocarbon derivatives, lithium perfluorooctane sulfonate, whether or not halogenated; lithium perfluorooctanesulfonic acid"
2904340000,"Hydrocarbon derivatives, potassium perfluorooctanesulfonate (whether or not halogenated); potassium perfluorooctanesulfonic acid"
2904350000,"Derivatives of hydrocarbons; salts of perfluorooctanesulfonic acids, n.e.c., whether or not halogenated; other salts of perfluorooctanesulfonic acids, n.e.c., of heading 2904, perfluorooctanesulfonic acid"
2904360000,"Hydrocarbon derivatives; perfluorooctane sulfonyl fluoride, whether halogenated or not; perfluorooctanesulfonyl fluoride "
2904910000,"Hydrocarbon derivatives, trichloronitromethane (chloropicrin), whether or not halogenated; trichloronitromethane (chloropicrin)"
2904990000,"Derivatives of hydrocarbons, N.E.C. Heading no. 2904, whether or not halogenated; others"
2905110000,"Alcohol; Saturated Monohydric, Methanol (Methyl Alcohol); Methanol (Methyl Alcohol)"
2905121000,"Alcohol; saturated monohydric, propane-1-ol (propyl alcohol) and propane-2-ol (isopropyl alcohol); 1-propanol (propyl alcohol)"
2905122010,"Alcohol; saturated monohydric, propane-1-ol (propyl alcohol) and propane-2-ol (isopropyl alcohol); 2-propanol (isopropyl alcohol); for semiconductor manufacturing"
2905122090,"Alcohol; saturated monohydric, propane-1-ol (propyl alcohol) and propane-2-ol (isopropyl alcohol); 2-propanol (isopropyl alcohol); other"
2905130000,"Alcohol; saturated monohydric, butan-1-ol (n-butyl alcohol); 1-butanol (normal-butyl alcohol)"
2905140000,"Alcohol; saturated monohydric, butanol (except heading 2905.13); other butanol"
2905161000,"Alcohol; saturated monohydric, octanol (octyl alcohol) and isomers thereof; 2-ethylhexyl alcohol"
2905169000,"Alcohol; saturated monohydric, octanol (octyl alcohol) and isomers thereof; other"
2905171000,"Alcohol; saturated monohydrate, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol), octadecan-1-ol (stearyl alcohol); 1-dodecanol (lauryl alcohol)"
2905172000,"Alcohol; saturated monohydrate, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol), octadecan-1-ol (stearyl alcohol); 1-hexadecanol (cetyl alcohol)"
2905173000,"Alcohol; saturated monohydrate, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol), octadecan-1-ol (stearyl alcohol); 1-octadecanol (stearyl alcohol)"
2905191000,"Alcohol; saturated monohydric, not included in heading 2905.1; heptyl alcohol"
2905192000,"Alcohol; saturated monohydric, not included in heading 2905.1; nonyl alcohol"
2905193000,"Alcohols; saturated monohydric, not included in heading 2905.1; isononyl alcohols"
2905194000,"Alcohols; saturated monohydric, not included in heading 2905.1; pentanol (amyl alcohol) and its isomers"
2905199010,"Alcohols; saturated monohydric, not included in heading 2905.1; other; 3,3-dimethylbutan-2-ol (pinacolyl alcohol)"
2905199020,"Alcohols; saturated monohydric, not included in heading 2905.1; other; 2-propylheptyl alcohol"
2905199030,"Alcohol; saturated monohydric, not included in heading 2905.1; other; isodecyl alcohol"
2905199090,"Alcohol; saturated monohydrate, not included in heading 2905.1; other; other"
2905221000,"Alcohols; unsaturated monounsaturated, acyclic terpene alcohols; geraniol, citronellol, linalool, rhodinol, nerol"
2905229000,"Alcohols; unsaturated monounsaturated, acyclic terpene alcohols; other"
2905290000,"Alcohol; acyclic, unsaturated monohydric, (except acyclic terpene alcohols); other"
2905310000,"Alcohol; Acyclic, Diol; Ethylene Glycol (Ethanediol); Ethylene Glycol (Ethanediol)"
2905320000,"Alcohol; Acyclic, Diol; Propylene Glycol (Propane-1, 2-Diol); Propylene Glycol (Propane-1,2-Diol)"
2905391000,"Alcohols; acyclic, diols, except ethylene glycol (ethanediol) or propylene glycol (propane-1,2-diol); 1,4-butanediol"
2905392000,"Alcohol; acyclic, diol, except ethylene glycol (ethanediol) or propylene glycol (propane-1,2-diol); neopentyl glycol"
2905399000,"Alcohols; acyclic, diols, except ethylene glycol (ethanediol) or propylene glycol (propane-1,2-diol); other"
2905410000,"Alcohols; multiple, 2-ethyl-2-(hydroxymethyl)propane-1,3-diol (trimethylolpropane); 2-ethyl-2-(hydroxymethyl)propane-1,3-diol (trimethylolpropane)"
2905420000,"Alcohol; Hydrophobic, Pentaerythritol; Pentaerythritol"
2905430000,"Alcohol; Hydrophobic, Mannitol; Mannitol"
2905440000,"Alcohol; Hydrophobic, D-Glucitol (Sorbitol); D-Glucitol (Sorbitol)"
2905450000,"Alcohol; Hydrophobic, Glycerol; Glycerol"
2905490000,"Alcohol; hydrophobic, not included in heading 2905.4; other"
2905510000,"Alcohols; acyclic; halogenated, sulfonated, nitrated or nitrogenated derivatives; eclorbinol (INN); esculovinol (INN)"
2905590000,"Alcohol; acyclic; halogenated, sulfurized, nitrated, or nitrogenated derivatives (except eclorvinol (INN)); other"
2906110000,"Alcohol; cyclic, cyclic or cycloterpene acids and derivatives, menthol; menthol"
2906120000,"Alcohols; cyclanic, cyclenic or cyclo-terpenic acids and derivatives, cyclohexanol, methylcyclohexanol and dimethylcyclohexanol; cyclohexanol-methylcyclohexanol-dimethylcyclohexanol"
2906131000,"Alcohols; cyclic, cyclenic or cycloterpenic acids and derivatives, sterols and inositol; sterols"
2906132000,"Alcohols; cyclic, cyclenic or cycloterpenic acids and derivatives, sterols and inositol; inositol"
2906191000,"Alcohol; cyclic, cyclenic or cycloterpenic acids and derivatives thereof, not included in heading 2906.1; borneol"
2906192000,"Alcohols; cyclic, cyclenic or cycloterpenic acids and derivatives thereof, not included in heading 2906.1; terpineol"
2906199000,"Alcohols; cyclic, cyclenic or cycloterpenic acids and derivatives thereof, not included in heading 2906.1; other"
2906210000,"Alcohol; aromatic alcohols and derivatives, benzyl alcohol; benzyl alcohol"
2906290000,"Alcohols; aromatics and derivatives, except benzyl alcohol; others"
2907111000,"Monophenols, phenols (hydroxybenzene) and their salts; phenols"
2907112000,"Monophenols, phenols (hydroxybenzene) and their salts; salts of phenols"
2907121000,"Monophenols, cresols and their salts; cresols"
2907122000,"Monophenols, cresols and their salts; salts of cresols"
2907131000,"Monophenols; octylphenol, nonylphenol and isomers thereof, salts thereof; octylphenol"
2907132000,"Monophenols; octylphenol, nonylphenol and isomers thereof, salts thereof; nonylphenol"
2907139000,"Monophenols; octylphenol, nonylphenol and isomers thereof, salts thereof; other"
2907151000,"Monophenols, naphthol and its salts; naphthol"
2907152000,"Monophenols, naphthol and its salts; salts of naphthol"
2907191000,Monophenols; n.e.c. in item no. 2907.1; thymol
2907192000,Monophenols; n.e.c. of heading 2907.1; xylenols and salts thereof
2907199000,Monophenols; n.e.c. of heading 2907.1; misc.
2907211000,Polyphenols; Resorcinol and its salts; Resorcinol
2907212000,Polyphenols; resorcinol and its salts; salts of resorcinol
2907221000,Polyphenols; Hydroquinone (quinol) and its salts; Hydroquinone
2907222000,Polyphenols; hydroquinone (quinol) and its salts; salts of hydroquinone
2907231000,"Polyphenols; 4,4'-isopropylenediphenol (bisphenol A, diphenylolpropane) and its salts; 4,4´-isopropylenediphenol (bisphenol A)"
2907232000,"Polyphenols; 4,4'-isopropylenediphenol (bisphenol A, diphenylolpropane) and its salts; salts of 4,4´-isopropylenediphenol (bisphenol A)"
2907291000,"Phenol-alcohols and polyphenols, n.e.c., of heading 2907.2; catechols"
2907299000,"Phenol-alcohols and polyphenols, n.e.c., of heading 2907.2; other"
2908110000,"Phenol or phenol-alcohol derivatives, containing only halogen substituents and salts thereof, pentachlorophenol (ISO); Pentachlorophenol (ISO)"
2908191000,"Phenol or phenol-alcohol derivatives containing only halogen substituents and salts thereof, except pentachlorophenol (ISO); chlorophenol, except pentachlorophenol"
2908192000,"Phenol or phenol-alcohol derivatives containing only halogen substituents and salts thereof, except pentachlorophenol (ISO); tetrabromobisphenol A"
2908193000,"Phenol or phenol-alcohol derivatives containing only halogen substituents and salts thereof, except pentachlorophenol (ISO); tribromophenol"
2908199000,"Phenols or phenol-alcohol derivatives containing only halogen substituents and salts thereof, except pentachlorophenol (ISO); other"
2908910000,"Phenols or phenol-alcohol derivatives, sulfonated, nitrated or nitrogenated derivatives; dinoseb (ISO) and salts thereof; dinoseb (ISO) and salts thereof"
2908920000,"Phenols or phenol-alcohol derivatives, sulfonated, nitrates or nitrate derivatives, 4,6-dinitro-o-cresol (DNOC(ISO)) and salts thereof; 4,6-dinitro-ortho-cresol [DNOC(ISO)] and salts thereof"
2908990000,"Phenols or phenol-alcohol derivatives, sulfonated, nitrates or nitrate derivatives, other substances except dinoseb (ISO) and 4,6-dinitro-o-cresol (DNOC (ISO)) and their salts; other"
2909110000,"Ethers; acyclic and their halogenated, sulfated, nitrated or nitrogenated derivatives; diethyl ether; diethyl ether"
2909191000,"Ethers; acyclic and their halogenated, sulfurized, nitrated or nitrogenated derivatives (except diethyl ether); bis(chloromethyl) ether"
2909192000,"Ethers; acyclic and their halogenated, sulfurized, nitrated or nitrogenated derivatives (except diethyl ether); methyl tert-butyl ether"
2909199000,"Ethers; acyclic and their halogenated, sulfated, nitrated or nitrogenated derivatives (except diethyl ether); other"
2909200000,"Ethers; cyclic, cyclene, or cycloterpene-based and halogenated, sulfonated, nitrated, or nitrogenated derivatives thereof; saturated, unsaturated, or cyclic ether; halogenated, sulfonated, nitrated, or nitrogenated derivatives thereof; nitroxylated, nitroxylated, or nitroxylated derivatives thereof"
2909301000,"Ethers; aromatics and their halogenated, sulfated, nitrated or nitrogenated derivatives; anisoles"
2909302000,"Ethers; aromatics and their halogenated, sulfurized, nitrated or nitrogenated derivatives; anethole"
2909303000,"Ethers; aromatics and their halogenated, sulfurized, nitrated or nitrogenated derivatives; diphenyl ethers"
2909304000,"Ethers; aromatics and their halogenated, sulfated, nitrated or nitrogenated derivatives; ambrette musk"
2909305000,"Ethers; aromatics and their halogenated, sulfurized, nitrated, or nitrogenated derivatives; decabromodiphenyl oxide"
2909309010,"Ethers; aromatics and their halogenated, sulfurized, nitrated or nitrogenated derivatives; others; pesticides (農藥原劑) (limited to those registered under the Pesticide Control Act)"
2909309090,"Ethers; Aromatics and their halogenated, sulfurized, nitrated or nitrogenated derivatives; Others; Others"
2909410000,"Ether alcohols and halogenated, sulfonated, nitrated or nitrate derivatives; 2,2'-oxydiethanol (diethylene glycol, digol); 2,2'-oxydiethanol (diethylene glycol, digol)"
2909430000,"Ether alcohols and halogenated, sulfonated, nitrated or nitrate derivatives; monobutyl ether of ethylene glycol or diethylene glycol; monobutyl ether of ethylene glycol and monobutyl ether of diethylene glycol"
2909441000,"Ether alcohols and halogenated, sulfurized, nitrated or nitrogenated derivatives thereof; monoalkyl ethers of ethylene glycol or diethylene glycol, N.E.C. Heading no. 2909; monomethyl ethers of ethylene glycol and diethylene glycol"
2909449000,"Ether alcohols and halogenated, sulfurized, nitrated or nitrogenated derivatives thereof; monoalkyl ethers of ethylene glycol or diethylene glycol, N.E.C. Heading no. 2909; etc."
2909491000,"Ether alcohols and their halogenated, sulfonated, nitrated or nitrogenated derivatives; n.e.c. of heading 2909.4; triethylene glycol"
2909499000,"Ether alcohols and halogenated, sulfonated, nitrated or nitrogenated derivatives thereof; n.e.c. of heading 2909.4; other"
2909500000,"Ether-phenols, ether-alcohol-phenols and halogenated, sulfonated, nitrated or nitrogenated derivatives thereof; ether-phenols, ether-alcohol-phenols and halogenated, sulfonated, nitrated or nitrogenated derivatives thereof"
